day,operate,price,investment,total_balance
6,buy,149.84270449610267,0.0,9850.157295503897
7,sell,149.93750943147006,0.06326963710793017,10000.094804935368
8,buy,149.93981001316934,0.0,9850.154994922199
9,buy,148.03403432559662,0.0,9702.120960596603
10,buy,146.8817790793537,0.0,9555.239181517249
11,buy,146.45268248504,0.0,9408.786499032209
12,buy,146.52668437030297,0.0,9262.259814661906
13,buy,147.2822306557391,0.0,9114.977584006167
14,buy,147.44318238205415,0.0,8967.534401624112
15,buy,148.2007393110507,0.0,8819.333662313062
16,buy,146.837391246916,0.0,8672.496271066146
18,buy,145.98051164843127,0.0,8526.515759417714
19,buy,145.5081348075173,0.0,8381.007624610196
20,buy,148.8068233255999,0.0,8232.200801284596
22,buy,148.96585179662907,0.0,8083.234949487967
23,sell,149.23511840780066,-0.4699829920464661,8232.470067895767
24,sell,151.14211913303916,2.099574480694348,8383.612187028806
25,sell,153.63563118697948,4.598155162579412,8537.247818215787
26,sell,152.11974123955588,3.8695493031305706,8689.367559455342
27,sell,153.93866281268856,5.058449574723195,8843.306222268031
28,sell,153.48671195495263,4.212647562159763,8996.792934222984
29,sell,153.59602875346354,4.17302873690434,9150.388962976447
30,sell,153.42254853164923,3.523470425905728,9303.811511508096
31,sell,152.7393773162139,4.019402700619587,9456.55088882431
32,sell,154.63330957359358,5.927365117065123,9611.184198397903
33,sell,153.875060844186,5.750143143362212,9765.059259242089
34,sell,153.06824071746814,2.8637244560647273,9918.127499959557
35,sell,152.19549670815468,2.16804379834298,10070.322996667712
38,buy,147.32859357085908,0.0,9922.994403096853
40,buy,147.30453509691415,0.0,9775.68986799994
41,sell,148.07732971065434,0.508208299317772,9923.767197710593
42,sell,148.93376742588862,1.1060299860439242,10072.700965136482
43,buy,148.7013445134744,0.0,9923.999620623008
44,sell,149.12916768710238,0.28770632506905025,10073.12878831011
45,buy,148.07224787004998,0.0,9925.05654044006
46,sell,147.74250116076564,-0.2226931204378865,10072.799041600825
47,buy,147.03250103867958,0.0,9925.766540562145
49,sell,149.12193859229592,1.4210718982918413,10074.88847915444
50,buy,145.3974713623311,0.0,9929.491007792109
51,sell,146.14435243976004,0.5136823016458942,10075.635360231869
52,buy,144.67950435489456,0.0,9930.955855876975
53,sell,146.28659105101542,1.110790849945631,10077.24244692799
56,buy,139.0745767159533,0.0,9938.167870212037
58,buy,141.4494236114915,0.0,9796.718446600546
59,sell,142.76322562349742,2.6522812397824787,9939.481672224043
60,buy,143.54907249534335,0.0,9795.9325997287
62,buy,141.4787575184655,0.0,9654.453842210234
64,buy,142.30885721205414,0.0,9512.14498499818
65,buy,138.32400134135787,0.0,9373.820983656822
66,buy,138.8913763419623,0.0,9234.92960731486
68,buy,138.41348321766418,0.0,9096.516124097196
69,buy,137.96792985640786,0.0,8958.548194240788
71,buy,138.67982238177137,0.0,8819.868371859016
72,sell,138.67891290132684,-1.9586581828528515,8958.547284760343
73,buy,139.09480535695002,0.0,8819.452479403393
74,buy,138.8422650656139,0.0,8680.61021433778
75,buy,139.05266854615365,0.0,8541.557545791626
77,buy,138.56446488069196,0.0,8402.993080910934
78,buy,139.07027220726013,0.0,8263.922808703674
80,buy,144.056054119872,0.0,8119.866754583802
81,sell,144.80781530336753,0.8768728255384677,8264.67456988717
83,sell,147.03892890982388,3.930039738038185,8411.713498796993
84,sell,148.61412150437536,4.43068999066289,8560.327620301368
86,sell,151.80861083188574,9.748568115268998,8712.136231133254
87,sell,153.74938014902727,10.697571151201856,8865.885611282281
88,sell,154.7264677966541,11.785690382010472,9020.612079078935
89,sell,155.22066819311294,12.504890342749302,9175.832747272048
90,sell,154.296340740475,11.260843928479327,9330.129088012523
91,sell,153.5829905299761,10.416050502997559,9483.7120785425
92,sell,153.68150635089478,10.68784154325642,9637.393584893394
93,sell,151.70991166742897,9.102481278217388,9789.103496560823
94,sell,152.54913217702233,10.092535130396945,9941.652628737846
95,sell,154.83800951320154,11.337963934119816,10096.490638251047
96,sell,154.4644002093337,7.225205600037264,10250.95503846038
