day,operate,price,investment,total_balance
0,buy,87.27602488200864,0.0,9912.723975117991
1,buy,88.56038456801798,0.0,9824.163590549973
2,buy,90.82910372327387,0.0,9733.3344868267
3,buy,96.40243336868298,0.0,9636.932053458017
5,buy,99.06859111580162,0.0,9537.863462342215
7,buy,96.31731295001828,0.0,9441.546149392198
8,buy,94.4743241145261,0.0,9347.071825277671
9,buy,97.83697041869164,0.0,9249.23485485898
10,buy,98.23838140875796,0.0,9150.996473450221
11,sell,97.44272151591304,11.648899738099997,9248.439194966133
14,sell,103.12373447479057,16.44454230614518,9351.562929440923
16,buy,103.70078557878513,0.0,9247.862143862138
17,buy,104.42876465764084,0.0,9143.433379204496
18,buy,112.85033583089898,0.0,9030.583043373597
19,buy,103.25728326875833,0.0,8927.325760104839
20,buy,102.26844513204287,0.0,8825.057314972797
21,buy,101.97646871725374,0.0,8723.080846255543
22,sell,100.05797021413308,10.160693117677894,8823.138816469676
23,buy,98.56888125658132,0.0,8724.569935213096
24,sell,97.88600697689981,1.5389379255013487,8822.455942189996
26,sell,99.68102822361836,0.6181950312595559,8922.136970413614
29,sell,97.28141979915564,1.0009694203550588,9019.41839021277
30,buy,94.06053728766891,0.0,8925.3578529251
31,sell,95.7616131374507,1.362580822874251,9021.119466062552
32,buy,96.0039726394516,0.0,8925.1154934231
34,buy,93.73204830105989,0.0,8831.38344512204
37,sell,92.29045525310902,-5.669140348322728,8923.673900375148
38,buy,95.09453921630848,0.0,8828.57936115884
39,sell,93.8028171658516,-4.5151031392206304,8922.382178324691
40,sell,93.70031010402816,-9.643586997862476,9016.08248842872
41,buy,93.98463346355312,0.0,8922.097854965166
42,buy,92.86030367016792,0.0,8829.237551294998
43,buy,91.41950356769576,0.0,8737.818047727302
45,buy,96.14648780971218,0.0,8641.67155991759
47,buy,100.6669944582145,0.0,8541.004565459374
49,buy,98.35785748351555,0.0,8442.646707975859
50,buy,101.11023162668425,0.0,8341.536476349174
51,buy,99.28524739124806,0.0,8242.251228957926
52,buy,99.36322881927208,0.0,8142.888000138654
53,buy,98.67852851166843,0.0,8044.209471626986
54,buy,99.08750834489547,0.0,7945.12196328209
55,buy,98.42369426987896,0.0,7846.698269012211
56,buy,101.26866838335991,0.0,7745.429600628851
58,sell,103.84749008196013,-0.5566230507335397,7849.2770907108115
61,buy,101.58734758356786,0.0,7747.689743127244
62,buy,101.85237623949799,0.0,7645.837366887746
63,buy,102.17472385874864,0.0,7543.662643028997
64,buy,100.49487768073415,0.0,7443.167765348263
65,buy,98.39907273880816,0.0,7344.768692609455
68,sell,103.22386230177925,-8.530301180090914,7447.992554911234
71,sell,104.26884211176368,0.9796489031891904,7552.261397022998
72,buy,106.85724179355839,0.0,7445.404155229439
73,buy,106.90696118111646,0.0,7338.497194048323
74,buy,103.11750136331739,0.0,7235.3796926850055
76,buy,109.64457273532025,0.0,7125.735119949685
77,sell,105.75105070792598,3.4053569225449576,7231.486170657611
79,sell,103.77268200734578,1.7613997745620442,7335.258852664957
80,sell,103.84153254910143,5.349204764529131,7439.100385214058
81,sell,104.26681232452393,10.850751368388192,7543.367197538582
82,buy,105.8672399568859,0.0,7437.499957581696
83,buy,106.28377121756783,0.0,7331.216186364129
84,sell,106.88982534865228,11.338960680390922,7438.106011712781
86,buy,112.77802293701734,0.0,7325.3279887757635
87,buy,110.64815808809819,0.0,7214.679830687665
89,buy,114.29317134628491,0.0,7100.38665934138
90,buy,116.30345714092255,0.0,6984.083202200458
91,buy,118.4390874840401,0.0,6865.644114716418
92,buy,116.65220305323601,0.0,6748.991911663182
93,buy,115.52698864466585,0.0,6633.464923018516
94,sell,114.98541943320195,22.6746043827805,6748.450342451718
95,sell,117.17087078094482,23.21514121270416,6865.621213232663
96,buy,115.51126599311829,0.0,6750.109947239544
97,buy,120.15392893336684,0.0,6629.956018306178
99,sell,120.86420962765258,28.599969137000734,6750.82022793383
100,buy,122.92701903509897,0.0,6627.893208898731
102,buy,124.17903915893747,0.0,6503.714169739794
103,buy,126.11836590112671,0.0,6377.595803838667
105,buy,124.36696842312813,0.0,6253.228835415539
106,buy,123.41135766382376,0.0,6129.817477751715
108,sell,126.763688831943,36.51009508023696,6256.581166583658
109,sell,125.7262154775017,37.5266880380749,6382.30738206116
111,sell,125.23256604334846,30.251836438583002,6507.539948104508
112,sell,125.85943775576743,25.02552443642287,6633.399385860275
113,sell,124.66179562500746,26.743097922705733,6758.061181485283
114,sell,129.77404779170683,28.349075760061698,6887.83522927699
115,buy,129.2393864290998,0.0,6758.59584284789
116,sell,127.96188505246936,28.883080230657832,6886.557727900359
118,sell,129.50676793530874,30.336714571608354,7016.064495835668
119,sell,127.5011053335761,29.208559609296863,7143.5656011692445
121,buy,129.63418563651248,0.0,7013.931415532732
122,sell,130.12774221071595,31.326081747638913,7144.059157743448
124,sell,129.63269182939803,31.70882559431636,7273.691849572846
125,buy,127.26548363869732,0.0,7146.426365934149
126,sell,128.6092026380993,26.998018924510603,7275.035568572248
127,buy,130.7925030229726,0.0,7144.243065549275
128,sell,134.31767787973513,32.21890429735122,7278.5607434290105
129,sell,134.21392096908312,31.772989422936448,7412.774664398094
130,buy,133.59604404383572,0.0,7279.178620354258
131,buy,132.0016400455488,0.0,7147.176980308709
132,buy,134.29862792490167,0.0,7012.878352383807
133,sell,129.37645297373638,26.622757652462802,7142.254805357544
134,buy,129.5681393146515,0.0,7012.686666042892
