day,operate,price,investment,total_balance
0,buy,250.11492000649199,0.0,9749.885079993508
1,buy,247.23435426210926,0.0,9502.650725731399
2,buy,250.5203868720637,0.0,9252.130338859335
4,sell,254.5736937290967,1.7826900220462603,9506.704032588432
5,sell,257.46227509459277,4.136933503035836,9764.166307683025
6,sell,254.40474906169402,1.5505174002521334,10018.571056744719
7,buy,252.40111240365513,0.0,9766.169944341063
9,buy,250.01712061634862,0.0,9516.152823724715
11,sell,257.98927842725243,2.214002137462993,9774.142102151967
12,sell,258.20213040603994,3.273779719370187,10032.344232558007
17,buy,249.32237555731717,0.0,9783.021857000691
19,sell,248.0067618792182,-0.5276757351433631,10031.02861887991
22,buy,248.3712380024299,0.0,9782.65738087748
24,buy,246.5412002557523,0.0,9536.116180621728
27,buy,248.06635896148964,0.0,9288.04982166024
28,sell,246.12466927081638,-0.9045204870265728,9534.174490931055
29,buy,247.21346840930437,0.0,9286.961022521751
30,buy,240.59284556419698,0.0,9046.368176957554
31,buy,237.3754449970811,0.0,8808.992731960472
32,buy,237.68687532285549,0.0,8571.305856637617
34,buy,241.57279470230603,0.0,8329.73306193531
36,sell,249.74473318858327,1.2993904992381582,8579.477795123894
37,sell,252.3411561180037,1.723247430409416,8831.818951241898
38,sell,254.37917884465057,2.8985922496270042,9086.198130086548
39,buy,253.38611678884078,0.0,8832.812013297707
40,sell,245.00546954317088,1.8340628411564652,9077.817482840877
41,buy,245.96829829772832,0.0,8831.849184543149
42,buy,239.98454560422942,0.0,8591.86463893892
44,buy,224.00382030955734,0.0,8367.860818629362
49,buy,220.06275769269266,0.0,8147.79806093667
51,buy,219.27949698901648,0.0,7928.518563947653
52,buy,219.12967482221575,0.0,7709.388889125437
53,buy,217.0620958958789,0.0,7492.3267932295585
54,buy,218.23025035858154,0.0,7274.096542870977
55,buy,220.8266296497604,0.0,7053.2699132212165
56,buy,223.2810159921646,0.0,6829.988897229052
57,sell,224.89455232036926,-5.257870154541603,7054.883449549421
58,buy,227.2190410897256,0.0,6827.664408459696
59,buy,228.0136170525293,0.0,6599.650791407166
62,buy,209.36765796845975,0.0,6390.2831334387065
65,buy,221.24911469221115,0.0,6169.034018746495
66,buy,222.1172698007831,0.0,5946.916748945712
67,buy,223.48590008417523,0.0,5723.430848861537
68,buy,224.8629410985541,0.0,5498.567907762983
69,buy,224.37727652710964,0.0,5274.190631235873
70,buy,223.59360218236,0.0,5050.597029053513
71,buy,221.97799794887484,0.0,4828.619031104638
73,buy,223.56441917097982,0.0,4605.054611933659
74,buy,217.9807171825596,0.0,4387.073894751099
75,buy,216.63562361385993,0.0,4170.438271137239
76,buy,214.78303113728361,0.0,3955.6552399999555
80,buy,215.91222901267247,0.0,3739.743010987283
82,buy,214.86715279124112,0.0,3524.875858196042
83,buy,215.2254824883712,0.0,3309.6503757076707
84,buy,213.3835990771095,0.0,3096.2667766305613
85,buy,212.99553315372123,0.0,2883.27124347684
86,buy,210.62263704193902,0.0,2672.648606434901
87,buy,209.48630068116563,0.0,2463.1623057537354
88,buy,212.13745964933696,0.0,2251.0248461043984
90,buy,212.20081457189733,0.0,2038.824031532501
92,sell,214.9170813695746,-9.579743905654095,2253.7411129020757
93,buy,214.48192704823853,0.0,2039.2591858538372
94,buy,212.41218864573784,0.0,1826.8469972080993
95,buy,210.03659754501678,0.0,1616.8103996630825
97,buy,210.83121703659344,0.0,1405.979182626489
98,buy,211.59373504958788,0.0,1194.3854475769012
100,buy,210.9223908453423,0.0,983.4630567315589
101,sell,228.64513128211547,-5.351456663868761,1212.1081880136744
103,buy,227.71065254219138,0.0,984.397535471483
105,sell,234.5655085846647,-7.427639857577602,1218.9630440561477
107,sell,238.20713149713268,-3.1553524800993937,1457.1701755532804
108,sell,245.50618568486243,2.3008315251012124,1702.6763612381428
109,sell,242.20107166736852,8.123634379388653,1944.8774329055113
111,sell,244.93234388299695,11.30113357255729,2189.8097767885083
112,sell,240.07928560999974,9.48551456319015,2429.889062398508
116,sell,235.7605167810334,7.589497849759777,2665.6495791795414
118,sell,240.96205363139597,11.01065464095651,2906.6116328109374
120,sell,244.28832707008223,11.940634567702588,3150.8999598810196
121,buy,245.54410967756394,0.0,2905.3558502034557
122,buy,244.0126184187793,0.0,2661.3432317846764
124,sell,245.92407229584933,11.365224694999167,2907.2673040805257
125,sell,249.08020437690718,11.554582135029298,3156.347508457433
127,sell,254.21609336428443,11.881509641570078,3410.5636018217174
128,sell,255.66020453763034,12.124972114596066,3666.2238063593477
129,sell,255.36623722203512,21.970241105961474,3921.590043581383
131,sell,262.8514598821893,18.803395099615617,4184.441503463572
132,sell,260.88792410492897,17.45503820523242,4445.329427568501
133,sell,259.65511697934016,16.184115812917916,4704.984544547841
134,sell,257.12975554506556,14.349547457163869,4962.114300092907
135,sell,258.3306887947474,15.13228647444406,5220.444988887654
136,sell,260.8906536378126,16.680732852558815,5481.335642525467
137,sell,257.2726984680776,15.900089578847215,5738.6083409935445
138,buy,257.1977352305621,0.0,5481.410605762982
139,sell,260.74408176373254,16.630402427462347,5742.154687526715
141,sell,288.1366690863433,32.184476136495995,6030.291356613058
143,sell,280.53009838644357,29.49398335634389,6310.821454999502
144,sell,275.6018943354975,28.31641907471735,6586.423349334999
145,sell,280.75672315506745,30.032802884263255,6867.180072490067
146,sell,282.1404846351652,31.309267596283057,7149.320557125232
147,sell,283.619063387845,31.777640876316386,7432.939620513077
148,sell,282.2136713877044,32.25649609824139,7715.153291900781
149,sell,283.0099444294756,32.87130497014892,7998.163236330257
151,sell,275.7679423906302,30.9298688230361,8273.931178720886
153,sell,270.98689918251694,29.357813996130517,8544.918077903403
156,sell,268.99313865216027,26.801338668241666,8813.911216555563
157,sell,271.4555032025637,27.92387425571821,9085.366719758127
158,buy,267.9632163653732,0.0,8817.403503392754
159,buy,271.70363049797373,0.0,8545.69987289478
160,sell,274.21848806392154,27.85155926086389,8819.918360958702
161,sell,278.33324947619985,31.034500068357897,9098.251610434902
162,sell,282.65971790295225,34.57641249514637,9380.911328337854
164,sell,286.18248634040356,35.740091226970236,9667.093814678257
165,sell,280.76459590961167,32.69041063234378,9947.858410587869
166,sell,282.32290355020086,33.85155668807708,10230.18131413807
168,sell,281.56316117358256,23.649534191824035,10511.744475311652
169,sell,279.5093178447969,13.832629995414813,10791.25379315645
170,sell,281.2152092448741,15.24617499995305,11072.469002401323
172,sell,282.01901926508066,9.650661975023919,11354.488021666404
174,sell,279.19065140634484,4.189916509161011,11633.678673072749
176,sell,276.82243394594116,1.8839657897046749,11910.50110701869
177,buy,271.59634862438725,0.0,11638.904758394303
178,buy,271.71917744166416,0.0,11367.185580952639
179,buy,274.112510990848,0.0,11093.07306996179
180,sell,269.6405702255688,-0.7201048205265984,11362.71364018736
181,buy,272.03462151080566,0.0,11090.679018676554
182,sell,276.2694958485663,1.6746401375659439,11366.94851452512
184,buy,269.8064219174248,0.0,11097.142092607695
185,buy,267.8638027856214,0.0,10829.278289822074
187,sell,261.5252812999752,-4.591993866085559,11090.80357112205
189,sell,271.69342188256996,-0.1254250750660965,11362.496993004619
191,sell,271.57446766237626,0.6553015796979684,11634.071460666995
192,buy,269.327892441579,0.0,11364.743568225416
193,sell,267.2145119612869,-0.24239588088507139,11631.958080186703
195,sell,270.8143389188899,0.5519095938543844,11902.772419105593
196,buy,258.4413778339913,0.0,11644.331041271602
197,buy,252.54323539519555,0.0,11391.787805876407
199,buy,247.56713250892062,0.0,11144.220673367487
202,buy,241.75757853512914,0.0,10902.463094832357
203,buy,235.56706580363968,0.0,10666.896029028718
204,buy,243.8891513418384,0.0,10423.00687768688
205,buy,226.7976008933383,0.0,10196.209276793541
206,buy,233.06603489302324,0.0,9963.143241900518
208,buy,240.2142638862133,0.0,9722.928978014304
209,buy,238.10128753038407,0.0,9484.82769048392
210,buy,234.35679673157028,0.0,9250.47089375235
211,buy,234.58352477289736,0.0,9015.887368979453
212,buy,233.33153317916006,0.0,8782.555835800293
214,sell,241.37179301368633,-6.604818842619515,9023.927628813979
215,sell,247.45851305862746,-2.013406666233288,9271.386141872606
216,sell,250.7012511101439,1.2659671619011592,9522.08739298275
217,buy,248.81107641177005,0.0,9273.27631657098
219,sell,248.448900813406,2.767781808049736,9521.725217384386
221,buy,245.45762655180263,0.0,9276.267590832584
223,sell,247.17562795811136,4.927922379501118,9523.443218790695
224,buy,247.0629085600376,0.0,9276.380310230657
227,sell,255.94494458436384,4.943144529470218,9532.325254815021
228,buy,253.65758192539215,0.0,9278.66767288963
231,sell,257.37356443651333,13.481608016459898,9536.041237326142
232,sell,259.42017272114754,11.307584067417107,9795.46141004729
233,sell,261.6699952320778,8.931913949967521,10057.131405279368
234,sell,261.9908359227411,10.033355401032212,10319.122241202109
235,sell,268.20747673381265,14.444078633236558,10587.329717935922
236,sell,285.6091937307683,21.75159956662319,10872.93891166669
237,sell,285.36107496602926,22.29854708361219,11158.299986632719
238,sell,284.2880844207684,14.25861280801088,11442.588071053488
239,sell,291.2448783325726,18.653831385885585,11733.83294938606
240,sell,288.36417057490144,16.7169010741357,12022.197119960962
241,sell,288.8159465884419,13.860561311110658,12311.013066549403
